filename,tps,innodb_thread_concurrency,thread_cache_size,max_connections,query_cache_size,sort_buffer_size,join_buffer_size,tmp_table_size,innodb_purge_threads,innodb_read_io_threads,innodb_write_io_threads,optimizer_search_depth,cpu,innodb_buffer_pool_size,key_buffer_size,innodb_io_capacity,innodb_io_capacity_max,sync_binlog,open_files_limit,table_open_cache,readIO,writeIO,IO
history_task48_ddpg.json,43406.46698856034,12,,33884,,,,,,,,,81.65062499931953,17845603225,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task48_ga.json,43350.122837676805,10,,99083,,,,,,,,,70.11713541608233,27161271501,,,,,,,0.0,0.00039062499999674476,0.00039062499999674476
history_task48_mbo.json,46868.74181923188,8,,8626,,,,,,,,,60.28354166616428,10556121865,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task48_smac.json,43092.05956084167,11,,31975,,,,,,,,,72.50901041606245,29623898112,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task4_ddpg.json,679025.0396174906,9,,27001,,,,,,,,,65.35473958278872,,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task4_ga.json,743939.6711036833,8,,57742,,,,,,,,,56.84828124952625,,,,,,,,0.0,0.00039062499999674476,0.00039062499999674476
history_task4_mbo.json,702580.7994273893,11,,24632,,,,,,,,,78.90869791600913,,,,,,,,0.0,0.00039062499999674476,0.00039062499999674476
history_task4_smac.json,764148.7703503551,9,,89307,,,,,,,,,64.30062499946415,,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task5_ddpg.json,63.31884906878332,,,,,,,,,,,,67.4091503261732,,,,,,,,0.0,0.0,0.0
history_task5_ga.json,60.35966884442215,,,,,,,,,,,,64.39906298745711,,,,,,,,0.0,0.0,0.0
history_task5_mbo.json,63.86089401860783,,,,,,,,,,,,52.011764705396224,,,,,,,,0.0,0.0,0.0
history_task5_smac.json,67.33429447245427,,,,,,,,,,,,65.8371578327785,,,,,,,,0.0,0.0,0.0
history_task6_ddpg.json,69978.98902744072,,,,,,,,,,,,97.0218749991915,,,,,,,,374.8162760385432,322.4070637993966,697.2233398379399
history_task6_ga.json,74067.47390152444,,,,,,,,,,,,97.5934895825201,,,,,,,,143.8559570300512,413.9139648403007,557.7699218703519
